2021-04-25 15:31:07,628 - {"进程PID": "", "手工排查确认": "[1]cat /home/xSRC_1.0.2/.bash_history", "异常时间": "", "异常文件": "/home/xSRC_1.0.2/.bash_history", "风险名称": "history文件安全扫描", "处理方案": "", "异常信息": "反弹shell类：curl -O https://raw.githubusercontent.com/atrandys/trojan/master/trojan_mult.sh && chmod +x trojan_mult.sh && ./trojan_mult.sh", "检测项": "主机历史操作类安全检测", "风险级别": "风险", "所属用户": ""}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/ips_pcap/system/10010057.pcap [2]strings /home/ips_test2.0/ips_pcap/system/10010057.pcap", "异常时间": "2021-02-02 16:41:33", "异常文件": "/home/ips_test2.0/ips_pcap/system/10010057.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/ips_pcap/system/10010057.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.115/admin.php", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/37ff8b6dacb58a919c0f13eb067a4310.php [2]strings /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/37ff8b6dacb58a919c0f13eb067a4310.php", "异常时间": "2021-02-04 10:32:11", "异常文件": "/root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/37ff8b6dacb58a919c0f13eb067a4310.php", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/37ff8b6dacb58a919c0f13eb067a4310.php #删除恶意文件", "异常信息": "境外ip操作类：//s:30:\"http://172.172.3.100/wordpress\";", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/a41c564f1d9b872506c98d32aebd2bf9.php [2]strings /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/a41c564f1d9b872506c98d32aebd2bf9.php", "异常时间": "2021-02-04 10:32:11", "异常文件": "/root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/a41c564f1d9b872506c98d32aebd2bf9.php", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/docker-vulgame/wordpress/wp-content/cache/c4ca4238a0b923820dcc509a6f75849b/options/a41c564f1d9b872506c98d32aebd2bf9.php #删除恶意文件", "异常信息": "境外ip操作类：//s:25:\"http://2.2.2.10/wordpress\";", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/test/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap [2]strings /root/test/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-08 16:30:58", "异常文件": "/root/test/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/test/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/test/ips_test2.0/backup/ips_pcap/file/12020114.pcap [2]strings /root/test/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "异常时间": "2021-02-08 16:30:59", "异常文件": "/root/test/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/test/ips_test2.0/backup/ips_pcap/file/12020114.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.126/repro/", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/test/ips_test2.0/backup/ips_pcap/system/10010057.pcap [2]strings /root/test/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "异常时间": "2021-02-08 16:31:00", "异常文件": "/root/test/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/test/ips_test2.0/backup/ips_pcap/system/10010057.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.115/admin.php", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/test/ips_test2.0/ips_pcap/backdoor/10020181.pcap [2]strings /root/test/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-08 16:31:02", "异常文件": "/root/test/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/test/ips_test2.0/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]cat /etc/passwd", "异常时间": "2021-04-02 11:48:59", "异常文件": "/etc/passwd", "风险名称": "特权组账户安全扫描", "处理方案": "vi /etc/passwd #删除用户root特权组或删除用户", "异常信息": "存在特权组用户elastic", "检测项": "账户类安全检测", "风险级别": "可疑", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "", "手工排查确认": "[1]cat /etc/resolv.conf", "异常时间": "2021-04-15 09:25:32", "异常文件": "/etc/resolv.conf", "风险名称": "DNS安全配置", "处理方案": "vi /etc/resolv.conf #删除或者更改DNS境外配置", "异常信息": "DNS设置为境外IP: 114.114.114.114", "检测项": "配置类安全检测", "风险级别": "可疑", "所属用户": "root"}
2021-04-25 15:31:07,630 - {"进程PID": "970", "手工排查确认": "[1]ls -l /porc/970 [2]ps -ef|grep 970|grep -v grep", "异常时间": "2021-04-15 09:25:46", "异常文件": "/usr/sbin/sshd", "风险名称": "SSH 后门", "处理方案": "kill 970 #关闭异常sshd进程", "异常信息": "非22端口的sshd服务,进程pid: 970", "检测项": "常规后门检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,631 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/CyberBattleSim/init.sh [2]strings /root/CyberBattleSim/init.sh", "异常时间": "2021-04-25 15:23:30", "异常文件": "/root/CyberBattleSim/init.sh", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/CyberBattleSim/init.sh #删除恶意文件", "异常信息": "反弹shell类： curl -sL https://deb.nodesource.com/setup_12.x | $SUDO bash -", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,631 - {"进程PID": "4708", "手工排查确认": "[1] cat /proc/$$/mountinfo [2] umount /proc/4708 [3]ps -ef |grep 4708", "异常时间": "2021-04-25 15:30:40", "异常文件": "", "风险名称": "隐藏进程扫描", "处理方案": "umount /proc/4708 & kill 4708 #关闭隐藏进程并结束进程", "异常信息": "进程ID 4708 隐藏了进程信息，未出现在进程列表中", "检测项": "进程类安全检测", "风险级别": "风险", "所属用户": "root"}
